Experiment	STML
1.003196525e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.3037475e-08	255000000	40.0	875.9566504038974
1.003317075e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.302144675e-08	255300000	27.0	876.3752591831983
1.0032284249999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.300599950000001e-08	255600000	49.0	876.7938561865155
1.0030324499999998e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.299091825e-08	255900000	32.0	877.2124414083986
1.00309445e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.297622225e-08	256200000	40.0	877.6310148433971
1.003105125e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.296222825e-08	256500000	26.0	878.0495764860615
1.0029679e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.29488115e-08	256800000	38.0	878.4681263309428
1.002906325e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.293555975e-08	257100000	51.0	878.8866643725927
1.002911125e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.292316775e-08	257400000	42.0	879.3051906055628
1.0028406e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2911259e-08	257700000	22.0	879.7237050244053
1.0028101e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.28995905e-08	258000000	41.0	880.1422076236739
1.0028152e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.28891435e-08	258300000	55.0	880.5606983979224
1.002756275e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2877988e-08	258600000	53.0	880.9791773417043
1.002713525e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.28674435e-08	258900000	32.0	881.397644449575
1.00269515e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.285683175e-08	259200000	20.0	881.8160997160892
1.0034788999999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.28392015e-08	259500000	49.0	882.2345431358029
1.002947825e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.282958075e-08	259800000	8028.0	882.6529747032727
1.003051e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.281984975000001e-08	260100000	10563.0	883.0713944130553
1.0032596999999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.281071025000001e-08	260400000	105.0	883.4898022597079
1.0027677e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2801507e-08	260700000	51.0	883.9081982377887
1.0027272750000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.27923445e-08	261000000	1652.0	884.3265823418567
1.0028456e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.278388025e-08	261300000	37.0	884.7449545664703
1.0026865749999998e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.27747585e-08	261600000	48.0	885.1633149061893
1.0026813249999998e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.276653975e-08	261900000	57.0	885.5816633555739
1.0027112499999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.275902575000001e-08	262200000	17.0	885.999999909185
1.002546325e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.275066574999999e-08	262500000	33.0	886.4183245615842
1.0025608499999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.27426865e-08	262800000	9341.0	886.8366373073322
1.002510325e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2734986e-08	263100000	40.0	887.2549381409923
1.002561275e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.272754124999999e-08	263400000	48.0	887.6732270571272
1.0030022249999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.272016225e-08	263700000	45.0	888.0915040503002
1.00292175e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.271383325e-08	264000000	35.0	888.5097691150756
1.002919625e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.270808825000001e-08	264300000	16.0	888.9280222460179
1.0027915e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.27009845e-08	264600000	41.0	889.3462634376918
1.0028031e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.26941955e-08	264900000	23.0	889.7644926846638
1.0027531250000002e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.268776325e-08	265200000	34.0	890.1827099814997
1.00266645e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2681214e-08	265500000	21.0	890.6009153227657
1.0025002000000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.267485275e-08	265800000	43.0	891.0191087030299
1.002752275e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.26683425e-08	266100000	46.0	891.4372901168599
1.0029304e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.266218575e-08	266400000	31.0	891.8554595588242
1.0026664e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.265602375e-08	266700000	24.0	892.2736170234917
1.0024156e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.265003700000001e-08	267000000	31.0	892.6917625054324
1.002377375e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.264402075e-08	267300000	17.0	893.1098959992157
1.0023936999999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.263785825e-08	267600000	17.0	893.528017499412
1.0022543749999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.263222024999999e-08	267900000	29.0	893.9461270005934
1.002379375e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.26266105e-08	268200000	40.0	894.3642244973316
1.00232855e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.262089075e-08	268500000	30.0	894.7823099841983
1.00225355e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.261532875000001e-08	268800000	53.0	895.2003834557669
1.0022843500000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.260961225e-08	269100000	50.0	895.6184449066103
1.0023851500000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.260391225e-08	269400000	19.0	896.0364943313026
1.002467825e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.25987625e-08	269700000	27.0	896.4545317244189
1.00266695e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2593535e-08	270000000	22.0	896.8725570805336
1.002613725e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.258840975e-08	270300000	42.0	897.2905703942229
1.0027907499999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.25832905e-08	270600000	34.0	897.7085716600623
1.002504525e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2578679e-08	270900000	34.0	898.1265608726293
1.0026515e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.257357175e-08	271200000	16.0	898.5445380265008
1.002564825e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2568751e-08	271500000	35.0	898.9625031162552
1.0033493249999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2563843e-08	271800000	31.0	899.3804561364705
1.0026754749999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.255926174999999e-08	272100000	33.0	899.7983970817252
1.00263525e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.255466625000001e-08	272400000	51.0	900.2163259465997
1.0029079999999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.254997125e-08	272700000	34.0	900.6342427256739
1.002642575e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.254552500000002e-08	273000000	45.0	901.0521474135285
1.00234505e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.254098624999999e-08	273300000	49.0	901.4700400047442
1.002195e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.25369595e-08	273600000	24.0	901.8879204939038
1.0023198749999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.253251175000001e-08	273900000	26.0	902.3057888755885
1.0020619499999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.252789300000001e-08	274200000	20.0	902.7236451443821
1.0022384000000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.252403475e-08	274500000	29.0	903.1414892948683
1.002197075e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.251967575e-08	274800000	15.0	903.5593213216301
1.0021371499999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.251543175e-08	275100000	37.0	903.9771412192529
1.002197025e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.251097325e-08	275400000	32.0	904.3949489823215
1.002174075e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.250693925e-08	275700000	25.0	904.8127446054222
1.0021045999999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2502866e-08	276000000	27.0	905.2305280831404
1.002165e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.24988e-08	276300000	26.0	905.6482994100638
1.0021070750000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.24947355e-08	276600000	32.0	906.0660585807797
1.00211455e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.249089325e-08	276900000	10.0	906.4838055898757
1.0021251749999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.248694824999999e-08	277200000	28.0	906.9015404319404
1.00213895e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.24830455e-08	277500000	21.0	907.3192631015633
1.00208805e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.247926550000001e-08	277800000	21.0	907.7369735933339
1.0021303999999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.247559e-08	278100000	37.0	908.1546719018422
1.001957375e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.24727355e-08	278400000	28.0	908.5723580216795
1.00195915e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.24703835e-08	278700000	7.0	908.9900319474365
1.0021296e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.246833525000001e-08	279000000	40.0	909.4076936737061
1.00203035e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.246481475e-08	279300000	45.0	909.8253431950806
1.00212105e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.246136325e-08	279600000	32.0	910.2429805061525
1.00212505e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.245798625e-08	279900000	37.0	910.6606056015158
1.002049325e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.245436425e-08	280200000	26.0	911.0782184757649
1.002145325e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.245053625e-08	280500000	29.0	911.4958191234942
1.002058375e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.24471595e-08	280800000	26.0	911.9134075392999
1.002122425e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.24436495e-08	281100000	10.0	912.3309837177766
1.0020535250000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2440166e-08	281400000	29.0	912.7485476535221
1.002110025e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.243701825e-08	281700000	29.0	913.1660993411328
1.0020736250000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.243335175e-08	282000000	28.0	913.5836387752069
1.0021323750000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.242987225e-08	282300000	28.0	914.0011659503418
1.002091975e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2426637e-08	282600000	15.0	914.418680861137
1.0020191e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.24232015e-08	282900000	23.0	914.8361835021913
1.0020542250000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.242026899999999e-08	283200000	28.0	915.2536738681054
1.001994475e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.241762575e-08	283500000	23.0	915.6711519534792
1.00217995e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.241373725e-08	283800000	25.0	916.0886177529134
1.002045975e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.241042625e-08	284100000	21.0	916.5060712610108
1.002046025e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2407646e-08	284400000	27.0	916.923512472373
1.002077025e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.240453750000001e-08	284700000	9.0	917.3409413816029
1.002041775e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.240126725e-08	285000000	21.0	917.7583579833038
1.0020007750000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2398267e-08	285300000	31.0	918.1757622720799
1.002075025e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.239531625e-08	285600000	17.0	918.5931542425355
1.0020226750000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2392444e-08	285900000	13.0	919.0105338892755
1.002030125e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.238957349999999e-08	286200000	22.0	919.4279012069059
1.00201435e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.238665125e-08	286500000	29.0	919.8452561900328
1.0021417e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.23838465e-08	286800000	31.0	920.2625988332633
1.002001725e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.23807965e-08	287100000	30.0	920.6799291312044
1.0020070000000002e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.237781025e-08	287400000	36.0	921.0972470784648
1.0020638e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.23752825e-08	287700000	26.0	921.5145526696523
1.0020837e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.237278675e-08	288000000	33.0	921.9318458993757
1.002041025e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.236974900000001e-08	288300000	40.0	922.349126762246
1.0019795249999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.23665005e-08	288600000	26.0	922.7663952528727
1.0016171500000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.236497275e-08	288900000	2.0	923.1836513658673
1.002088175e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.23666835e-08	289200000	13.0	923.6008950958401
1.002055775e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.236253899999999e-08	289500000	26.0	924.018126437404
1.002068725e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.235944300000001e-08	289800000	5.0	924.4353453851718
1.002008075e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.235695225e-08	290100000	21.0	924.8525519337562
1.0020000250000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.23545065e-08	290400000	38.0	925.2697460777712
1.0019524e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.235200875e-08	290700000	24.0	925.6869278118307
1.00200005e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2349353e-08	291000000	35.0	926.1040971305501
1.002018975e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.234638475000001e-08	291300000	19.0	926.5212540285454
1.0020335749999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.23436795e-08	291600000	12.0	926.9383985004313
1.0020191249999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.234109299999999e-08	291900000	28.0	927.3555305408258
1.002021875e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.233849575e-08	292200000	11.0	927.7726501443459
1.002075925e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.233601975e-08	292500000	9.0	928.1897573056094
1.0019891750000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.233357375000001e-08	292800000	13.0	928.6068520192341
1.0019865749999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.233115449999999e-08	293100000	13.0	929.0239342798398
1.0020088499999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.232853775e-08	293400000	26.0	929.4410040820455
1.0019859e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.232601699999999e-08	293700000	14.0	929.8580614204722
1.0020597e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.232352825e-08	294000000	23.0	930.2751062897397
1.0020004999999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.232111800000001e-08	294300000	21.0	930.6921386844703
1.001983375e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2318581e-08	294600000	19.0	931.1091585992848
1.0020084000000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.231626825e-08	294900000	14.0	931.5261660288073
1.001970425e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.231393274999999e-08	295200000	14.0	931.9431609676595
1.001942725e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.231197325e-08	295500000	25.0	932.3601434104656
1.0020548500000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2309346e-08	295800000	14.0	932.77711335185
1.0019823999999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.23069585e-08	296100000	13.0	933.1940707864377
1.0019673e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2304422e-08	296400000	38.0	933.6110157088536
1.00193065e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.23024255e-08	296700000	2.0	934.027948113724
1.00205765e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.23001195e-08	297000000	7.0	934.444867995676
1.00194875e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.229769674999999e-08	297300000	0.0	934.8617753493361
1.00197355e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2295368e-08	297600000	29.0	935.2786701693332
1.0020085e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.229317575e-08	297900000	3.0	935.6955524502945
1.001994725e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.229125725e-08	298200000	25.0	936.1124221868492
1.0020014e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.22887365e-08	298500000	-2.0	936.5292793736277
1.001977575e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.228642575e-08	298800000	14.0	936.9461240052591
1.0020058250000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.228423900000001e-08	299100000	13.0	937.3629560763752
1.0019507999999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.228198850000001e-08	299400000	25.0	937.7797755816068
1.001955575e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2279475e-08	299700000	16.0	938.1965825155859
1.001756625e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.227847475000001e-08	300000000	21.0	938.6133768729447
1.0021307500000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.227752975e-08	300300000	1.0	939.0301586483167
1.001970025e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.227443175000001e-08	300600000	8.0	939.4469278363357
1.0019489e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.22713445e-08	300900000	3.0	939.8636844316362
1.002056275e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2269435e-08	301200000	11.0	940.2804284288525
1.0019898249999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.226677375000001e-08	301500000	12.0	940.6971598226207
1.0020438000000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.226448775e-08	301800000	-2.0	941.1138786075765
1.0019559500000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.22624395e-08	302100000	15.0	941.5305847783569
1.001972725e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.22601605e-08	302400000	5.0	941.9472783295987
1.0018987749999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2258542e-08	302700000	13.0	942.36395925594
1.00197645e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2256663e-08	303000000	11.0	942.7806275520194
1.0019841249999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.225415275e-08	303300000	14.0	943.1972832124758
1.0019397250000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.225220074999999e-08	303600000	13.0	943.6139262319491
1.001990025e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.225052375e-08	303900000	40.0	944.0305566050796
1.0019513e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2248296e-08	304200000	10.0	944.4471743265078
1.0019375749999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.224598525e-08	304500000	5.0	944.8637793908755
1.00186325e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.224431e-08	304800000	11.0	945.2803717928242
1.0020409e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.224282150000001e-08	305100000	7.0	945.6969515269975
1.0018741000000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.224054424999999e-08	305400000	8.0	946.1135185880377
1.00202805e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.223863425e-08	305700000	15.0	946.5300729705891
1.0020049e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2236862e-08	306000000	1.0	946.9466146692962
1.0019041749999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.223469474999999e-08	306300000	20.0	947.3631436788033
1.00193685e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.223258975e-08	306600000	14.0	947.7796599937572
1.001935975e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.223051475000001e-08	306900000	8.0	948.1961636088037
1.001939825e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2228623e-08	307200000	33.0	948.6126545185891
1.001918825e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.222656425e-08	307500000	8.0	949.0291327177617
1.0019776999999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.222474525e-08	307800000	7.0	949.4455982009687
1.00192125e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.222268300000001e-08	308100000	7.0	949.8620509628594
1.001981275e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.222090349999999e-08	308400000	8.0	950.2784909980826
1.0018967000000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.221913375e-08	308700000	-3.0	950.6949183012885
1.0019437499999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.221755275e-08	309000000	15.0	951.1113328671269
1.001937625e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.221584225e-08	309300000	1.0	951.52773469025
1.00199895e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.221371575e-08	309600000	19.0	951.9441237653082
1.0018752249999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.221187e-08	309900000	19.0	952.3605000869547
1.0019361e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.221034075e-08	310200000	24.0	952.7768636498416
1.001963875e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.22085465e-08	310500000	20.0	953.1932144486229
1.0019039e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.220635475e-08	310800000	20.0	953.6095524779524
1.001950275e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.22044005e-08	311100000	20.0	954.0258777324851
1.0020115e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.22025995e-08	311400000	3.0	954.4421902068757
1.0019052249999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2201182e-08	311700000	4.0	954.858489895781
1.0020002000000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2199361e-08	312000000	1.0	955.274776793856
1.001904475e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2197473e-08	312300000	23.0	955.6910508957591
1.0018202e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2196098e-08	312600000	16.0	956.1073121961476
1.001975825e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.219427e-08	312900000	13.0	956.5235606896798
1.0020112e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.219229825e-08	313200000	23.0	956.9397963710144
1.0018770000000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.219045275e-08	313500000	11.0	957.3560192348111
1.001915675e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.218862675e-08	313800000	7.0	957.7722292757296
1.0018959750000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.218696775e-08	314100000	20.0	958.1884264884318
1.0019680500000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2185351e-08	314400000	13.0	958.6046108675777
1.0019433000000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.218334700000001e-08	314700000	14.0	959.0207824078301
1.001927125e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.218193325e-08	315000000	-9.0	959.436941103851
1.0019198e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2180802e-08	315300000	6.0	959.8530869503038
1.001936275e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.217871800000001e-08	315600000	12.0	960.2692199418525
1.00194365e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.21769115e-08	315900000	-2.0	960.6853400731611
1.0019308000000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.217551325e-08	316200000	8.0	961.1014473388947
1.001942375e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2173865e-08	316500000	24.0	961.5175417337189
1.001939825e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2171936e-08	316800000	2603.0	961.9336232522999
1.001947375e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2170353e-08	317100000	3059.0	962.349691889305
1.001909075e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2168653e-08	317400000	1587.0	962.7657476394007
1.0019355e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.216715225000001e-08	317700000	15.0	963.1817904972559
1.0018921000000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.21654095e-08	318000000	15.0	963.5978204575388
1.0019382999999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.216373125e-08	318300000	24.0	964.0138375149188
1.0019091000000001e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.216215875e-08	318600000	1.0	964.4298416640655
1.001893725e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.21606045e-08	318900000	14.0	964.8458328996497
1.0019939e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.215836275e-08	319200000	8.0	965.2618112163425
1.00193185e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.215671425e-08	319500000	14.0	965.6777766088154
1.0019428749999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.215538575000001e-08	319800000	8.0	966.0937290717412
1.001929075e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.215338375e-08	320100000	31.0	966.5096685997928
1.001873475e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.215222025e-08	320400000	19.0	966.9255951876429
1.001934425e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2150728e-08	320700000	14.0	967.3415088299668
1.00192125e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.214914175e-08	321000000	29.0	967.7574095214388
1.001963325e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.214706725e-08	321300000	22.0	968.1732972567337
1.0019261e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.214540275e-08	321600000	9.0	968.5891720305289
1.0019428249999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.214429974999999e-08	321900000	-4.0	969.0050338375
1.001865e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.214270599999999e-08	322200000	4.0	969.4208826723243
1.0018612e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.214101675e-08	322500000	21.0	969.8367185296801
1.001996525e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.213926875e-08	322800000	-4.0	970.2525414042456
1.00192625e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.213766975e-08	323100000	22.0	970.6683512907
1.0018773e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.213641425e-08	323400000	-3.0	971.084148183723
1.0018602249999999e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.2135254e-08	323700000	15.0	971.4999320779949
1.001964375e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.213390599999999e-08	324000000	15.0	971.9157029681973
1.001915725e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.213215799999999e-08	324300000	18.0	972.3314608490108
1.001995675e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.213029825e-08	324600000	18.0	972.7472057151181
1.00190845e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.212880625000001e-08	324900000	18.0	973.1629375612017
1.00191325e-10	1.0	2.8620942e-08	-3.1165595e-08	-7.212740975e-08	325200000	9.0	973.5786563819456
